month,workout_worldwide
2018-03,59
2018-04,61
2018-05,57
2018-06,56
2018-07,51
2018-08,58
2018-09,50
2018-10,49
2018-11,47
2018-12,48
2019-01,64
2019-02,63
2019-03,55
2019-04,54
2019-05,53
2019-06,56
2019-07,56
2019-08,54
2019-09,49
2019-10,47
2019-11,47
2019-12,48
2020-01,63
2020-02,60
2020-03,56
2020-04,100
2020-05,80
2020-06,71
2020-07,66
2020-08,62
2020-09,58
2020-10,55
2020-11,48
2020-12,54
2021-01,71
2021-02,62
2021-03,63
2021-04,62
2021-05,58
2021-06,61
2021-07,56
2021-08,55
2021-09,51
2021-10,50
2021-11,49
2021-12,47
2022-01,69
2022-02,61
2022-03,57
2022-04,54
2022-05,56
2022-06,58
2022-07,51
2022-08,54
2022-09,49
2022-10,46
2022-11,47
2022-12,44
2023-01,62
2023-02,57
2023-03,55